Systeme,Classe,DOI,T1_s,T2_us,Temperature_K,Contraste_%,Hote_contexte,Methode_lecture,Qualite,Verification_statut,_source_file,_source_category,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,Annee,Notes,dataset_source,last_updated,id,system_type,T1_us,notes,label,T2_star_microseconds,magnetic_sensitivity_nT_rtHz,curator,protein_or_complex,observable,field_sensitivity_uT,mfe_percent,nucleus,host,coupling_strength_Hz,merge_note,flag_suspect,flag_reason,Data_Quality_Atlas
VSi defect in 4H-SiC,B,10.1038/nmat4145,,160.0,,,silicon_carbide,ODMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Silicon vacancy in 4H polytype, room temperature ODMR control",nonoptical_merge_v2,2025-11-19T02:52:29.668759,,,,,,,,,,,,,,,,,0,,MEDIUM
VSi defect in 4H-SiC,spin_qubit,10.1038/nmat4145,,160.0,,,silicon_carbide,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIC_001,SiC_defect,,"Silicon vacancy in 4H polytype, room temperature ODMR control",,,,,,,,,,,,,0,,MEDIUM
,,10.1002/mrm.25460,45000.0,,310.0,,,DNP_MRI,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_13C_LACTATE_001,metabolic_tracer,,"Hyperpolarized 13C-lactate, downstream metabolite of pyruvate",,,,non_optical_v3,,,,,13C,lactate (hyperpolarized),,,0,,LOW
,,10.1002/mrm.26854,90000.0,,298.0,,,DNP_MRI,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_15N_CHOLINE_001,membrane_tracer,,Hyperpolarized 15N-choline for cell membrane imaging,,,,non_optical_v3,,,,,15N,choline (hyperpolarized),,,0,,LOW
,,10.1016/0005-2728(96)00009-8,,1000.0,298.0,,Spinacia oleracea,,B,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_FERREDOXIN_001,,,"Iron-sulfur cluster radical in spinach ferredoxin, EPR active",,,,non_optical_v3,Ferredoxin [4Fe-4S],electron_transfer,,,,,,,0,,LOW
,,10.1016/j.cmet.2011.01.005,,,310.0,,,in_vivo_MRS,B,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_31P_ATP_001,metabolic_tracer,,"31P in ATP for energy metabolism MRS, endogenous (no hyperpolarization)",,,,non_optical_v3,,,,,31P,ATP (adenosine triphosphate),,,0,,LOW
,,10.1016/j.physrep.2013.02.001,6000000.0,1800.0,298.0,,diamond,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_NV_001,NV_center,,"Negatively charged nitrogen-vacancy center, typical values at room temperature",NV- center in diamond (room temp),,130.0,non_optical_v1,,,,,,,,,1,; T1_out_of_range,LOW
,,10.1021/ja00283a062,,100.0,293.0,,Hen egg white,,B,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_LYSOZYME_001,,,"Tryptophan radical in lysozyme, transient EPR detection",,,,non_optical_v3,Lysozyme Trp radical,electron_transfer,,,,,,,0,,LOW
,,10.1021/ja203749t,,1000.0,298.0,,Escherichia coli,,A,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_PHOTOLYASE_001,,,FAD-tryptophan radical pair in DNA repair enzyme,,,,non_optical_v1,DNA photolyase FAD-TrpH,electron_transfer,,,,,,,0,,LOW
,,10.1038/nature05678,,0.6,77.0,,Chlorobium tepidum,,B,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_FMO_001,,,"Fenna-Matthews-Olson complex, 600fs coherence (debated, 2D spectroscopy)",,,,non_optical_v3,FMO complex,exciton_coherence,,,,,,,0,,LOW
,,10.1038/nature08705,,,298.0,,,solution_NMR,B,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_1H_001,protein_NMR,,Proton nuclear spins in protein showing quantum coherence effects,,,,non_optical_v2,,,,,1H,protein backbone (ubiquitin),,,0,,LOW
,,10.1038/nature08812,60000.0,30000.0,2.0,,,pulsed_NMR,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_31P_001,phosphorus_donor,,"31P donor nuclear spin in silicon, long coherence times",,,,non_optical_v1,,,,,31P,silicon (donor),,,0,,LOW
,,10.1038/nature11242,,500.0,298.0,,Xenopus laevis,,A,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_6_4PHOTOLYASE_001,,,FAD radical in 6-4 photolesion repair enzyme,,,,non_optical_v2,6-4 photolyase FAD,electron_transfer,,,,,,,0,,LOW
,,10.1038/nature11449,,1800000.0,4.2,,,NMR,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_29SI_001,silicon_bulk,,29Si nuclear spins in isotopically purified silicon,,,,non_optical_v1,,,,,29Si,silicon (bulk),,,0,,LOW
,,10.1038/ncomms10240,600000.0,,230.0,,fullerene_cage,pulsed_ESR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_FULLERENE_001,endohedral_fullerene,,"Nitrogen atom trapped in C60, exceptionally long T1 for molecular system",N@C60 endohedral fullerene,,,non_optical_v1,,,,,,,,,0,,LOW
,,10.1038/nmat4145,,160.0,,,silicon_carbide,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIC_001,SiC_defect,,"Silicon vacancy in 4H polytype, room temperature ODMR control",VSi defect in 4H-SiC,,,non_optical_v1,,,,,,,,,0,,LOW
,,10.1038/s41586-021-03618-9,,1000.0,298.0,,Erithacus rubecula (European robin),,A,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_CRY_001,,,Migratory bird cryptochrome showing magnetic sensitivity,,,,non_optical_v1,Cryptochrome 4,magnetic_field_effect,50.0,,,,,,0,,LOW
,,10.1073/pnas.0408746102,,10.0,293.0,,Rhodobacter sphaeroides,,A,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_BChl_001,,,Primary charge separation P+HA- radical pair,,,,non_optical_v1,Bacterial reaction center,charge_separation,,,,,,,0,,LOW
,,10.1073/pnas.0601319103,60000.0,,310.0,,,DNP_MRI,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_13C_PYRUVATE_001,metabolic_tracer,,"Hyperpolarized 13C-pyruvate for in vivo metabolic imaging, FDA-approved",,,,non_optical_v3,,,,,13C,pyruvate (hyperpolarized),,,0,,LOW
,,10.1073/pnas.1220074110,,1000.0,310.0,,Bos taurus,,B,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_MITOCHONDRIA_001,,,Flavin semiquinone radical in respiratory complex I,,,,non_optical_v2,Mitochondrial Complex I flavin,electron_transfer,,,,,,,0,,LOW
,,10.1073/pnas.1316207110,,100.0,298.0,,Spinacia oleracea (spinach),,B,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_PSII_001,,,Radical pair in PSII reaction center,,,,non_optical_v1,Photosystem II D1-D2,singlet_yield,,,,,,,0,,LOW
,,10.1103/PhysRevB.103.L140102,,,,,diamond,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_MGV_001,MgV_center,,"Magnesium vacancy, high Debye-Waller factor",MgV- center in diamond,,,non_optical_v3,,,,,,,,,0,,LOW
,,10.1103/PhysRevB.79.075203,,600000.0,298.0,,diamond,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_NV_002,NV_center,,"NV- at liquid nitrogen temperature, extended coherence",NV- center in diamond (77K),600.0,,non_optical_v1,,,,,,,,Merged from 2 rows: spin_qubit_candidates.csv,0,,LOW
,,10.1103/PhysRevB.92.115206,,120.0,,,silicon_carbide,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIC_003,SiC_defect,,"Silicon vacancy V1 site in 4H polytype, complementary to V2",VSi defect 4H-SiC V1 site,,,non_optical_v3,,,,,,,,,0,,LOW
,,10.1103/PhysRevLett.108.197601,,,4.0,,,NMR,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_13C_002,diamond_bulk,,Bulk 13C nuclear spins in diamond at cryogenic temperature,,,,non_optical_v1,,,,,13C,diamond (bulk),,,0,,LOW
,,10.1103/PhysRevLett.109.137602,,1000.0,298.0,,,dynamical_decoupling,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_13C_001,diamond_NV_coupled,,"13C nuclear spin coupled to NV center, room temperature",,,,non_optical_v1,,,,,13C,diamond (coupled to NV),130000.0,,0,,LOW
,,10.1103/PhysRevLett.110.167402,,,298.0,,,ODMR,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_15N_001,diamond_NV_coupled,,15N substituted NV center showing long T1 at room temperature,,,,non_optical_v2,,,,,15N,diamond (NV center substitutional),3100000.0,,0,,LOW
,,10.1103/PhysRevLett.112.187601,1000.0,,20.0,,silicon_carbide,pulsed_ESR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIC_002,SiC_defect,,Neutral divacancy defect at cryogenic temperature,Divacancy in 4H-SiC,,,non_optical_v1,,,,,,,,,0,,LOW
,,10.1103/PhysRevLett.113.020503,,13.0,,,diamond,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIV_001,SiV_center,,"Negatively charged silicon vacancy, narrow optical linewidth",SiV- center in diamond,,,non_optical_v1,,,,,,,,Merged from 2 rows: spin_qubit_candidates.csv,0,,LOW
,,10.1103/PhysRevLett.115.247602,,,,,silicon_carbide,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIC_004,SiC_defect,,Neutral divacancy in 6H polytype hh configuration,Divacancy 6H-SiC hh site,,,non_optical_v3,,,,,,,,,0,,LOW
,,10.1103/PhysRevLett.119.253601,100.0,,4.0,,diamond,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_GEV_001,GeV_center,,"Germanium vacancy, narrow zero-phonon line at cryogenic temperature",GeV- center in diamond,,,non_optical_v2,,,,,,,,,0,,LOW
,,10.1103/PhysRevLett.122.190503,,,,,diamond,ODMR,A,,spin_qubit_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_PBV_001,PbV_center,,"Lead vacancy center, telecom wavelength 1935nm, narrow linewidth",PbV- center in diamond,,,non_optical_v3,,,,,,,,,0,,LOW
,,10.1126/science.1231364,,3.0,298.0,,,ODMR,A,,nuclear_spin_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,NUC_14N_001,diamond_NV_coupled,,"14N nuclear spin intrinsic to NV center, room temperature control",,,,non_optical_v1,,,,,14N,diamond (NV center intrinsic),2200000.0,,0,,LOW
,,10.1146/annurev-biophys-032116-094545,,500.0,293.0,,Drosophila melanogaster,,B,,radical_pair_candidates.csv,non_optical_staging,,,,,,,,,,,,,,,,,,,,,,,,,RP_CRY_002,,,Drosophila cryptochrome radical pair mechanism review,,,,non_optical_v1,Cryptochrome 1a,anisotropy_change,,,,,,,0,,LOW
